,Year,Utility Name,Injuries & Damages (2022$),Transmission Maintenance Expenses (2022$),Transmission Operation Expenses (2022$),Distribution Maintenance Expenses (2022$),Distribution Operation Expenses (2022$),Transmission Plant Capital Additions (2022$),Distribution Plant Capital Additions (2022$)
0,1994,Pacific Gas & Electric Co.,131218702.2251163,40491381.10456909,74367499.76601917,231577999.98270866,270528282.36344737,115829668.37647061,810564806.7624625
1,1995,Pacific Gas & Electric Co.,111934405.36463073,48623863.83872256,90268403.47656687,328697485.65716565,198675316.1542515,122584882.70754491,786742894.4146906
2,1996,Pacific Gas & Electric Co.,171523675.00974095,55138035.60637306,89689030.76362695,449736693.8312953,212692482.56207255,127808292.96932642,882784500.6516063
3,1997,Pacific Gas & Electric Co.,141899760.37410435,51971107.2615462,94239961.38478945,458168252.53651804,221828691.27401638,145002121.64364552,1316463143.7290761
4,1998,Pacific Gas & Electric Co.,78528874.49732675,54687538.015544556,101712554.30970299,474730311.99445546,239880567.6677228,381532310.9465347,1251445309.5255446
5,1999,Pacific Gas & Electric Co.,120717442.51208764,58725769.865660384,113326224.15483873,390959980.2484236,235933460.35924527,271685711.65993917,1103225107.9268653
6,2000,Pacific Gas & Electric Co.,457303344.70521325,61592837.87601896,97877072.56805687,397921849.1078673,216567051.89232227,193929934.32625592,1038563163.7171565
7,2001,Pacific Gas & Electric Co.,73006971.2232096,71577397.06608796,97563050.89864078,385317922.92623645,196682277.6534552,225055945.7582639,932032870.9643406
8,2002,Pacific Gas & Electric Co.,82419512.51857708,64801696.156837955,104297011.59462452,442757267.9335969,185406726.86039528,296117405.37675893,857742815.8026878
9,2003,Pacific Gas & Electric Co.,111282717.08460101,64766695.38201432,91159025.21686298,431433251.1284976,228862852.2838085,764128141.6418272,1006050867.8241498
10,2004,Pacific Gas & Electric Co.,105647852.30047517,72517967.06695466,95111032.49157669,447412636.2857884,211788581.9414255,462837472.14790505,877924816.5542982
11,2005,Pacific Gas & Electric Co.,91291011.2708967,80194519.88488728,108109794.73686421,427388787.8329523,236190314.76421607,394601039.75131625,984767342.7176509
12,2006,Pacific Gas & Electric Co.,67516431.78360061,86670660.80217853,154548498.91146746,435562477.9425113,231521813.6728593,752199176.0789107,1162562672.113283
13,2007,Pacific Gas & Electric Co.,95685547.18994546,82044913.37585963,162490009.96063554,432024493.0064027,260217397.00071144,439069571.63860565,1181840764.2779229
14,2008,Pacific Gas & Electric Co.,78993184.43320069,93106542.31540649,185060894.62740195,466479568.1728255,243409147.5301876,424115503.4433201,1346912650.0202389
15,2009,Pacific Gas & Electric Co.,76653815.85325585,77946668.15964536,190296073.66260782,434225464.85898185,211981866.31596595,885204459.983689,1684715566.6889644
16,2010,Pacific Gas & Electric Co.,85970334.77833004,81198747.70543687,188853170.9818494,457255545.8648465,199556088.57472762,881613530.721234,1616185584.4228773
17,2011,Pacific Gas & Electric Co.,103547162.16010135,88211116.63635498,173321012.13217512,528592668.73480064,238465182.84844002,546803763.8380733,1735288468.9387755
18,2012,Pacific Gas & Electric Co.,94868520.12462445,94023005.95052612,167890568.65192246,494249474.1362981,310120643.4314606,840548971.2960361,1813158349.7521014
19,2013,Pacific Gas & Electric Co.,91881500.7537259,108770149.50661804,168672566.9627931,474955852.56321007,293011420.0471079,999068701.6954664,1811398794.3520584
